,Address,BusinessName,BusinessType,CD,City,DateApproved,Gender,JobsReported,Lender,LoanAmount,NAICSCode,NonProfit,RaceEthnicity,State,Veteran,Zip
37587,2123 B AVE,LOGAN SCHWERMAN,Sole Proprietorship,KS-01,JEWELL,7/27/2020,Unanswered,1,Bank of the Flint Hills,1652,112111,,Unanswered,KS,Unanswered,66949
31386,317 N MAIN ST,SCORPIUS INDUSTRIES LLC,Limited  Liability Company(LLC),KS-04,HESSTON,4/30/2020,Male Owned,2,The Citizens State Bank,5000,333111,,White,KS,Unanswered,67062
138802,1908 Veterans Blvd.,"FIX DAT DENT, L.L.C.",Limited  Liability Company(LLC),LA-01,Metairie,5/1/2020,Unanswered,6,Fidelity Bank,6800,811121,,Unanswered,LA,Unanswered,70005
115808,2109 Florida Street,COUNTRY KITCHEN,Sole Proprietorship,LA-01,MANDEVILLE,4/15/2020,Unanswered,10,Fidelity Bank,20700,722511,,Unanswered,LA,Unanswered,70448
109084,344 FARREL RD,"AGILINK SOFTWARE, INC.",Corporation,LA-03,LAFAYETTE,4/27/2020,Unanswered,5,M C Bank & Trust Co.,24500,541511,,Unanswered,LA,Unanswered,70508
13045,221 LAUREL ST,"RED CARPET EMPLOYMENT AGENCY, INC.",Corporation,AR-04,TEXARKANA,4/7/2020,Unanswered,42,"Guaranty Bank & Trust, National Association",181200,561311,,Unanswered,AR,Unanswered,71854
13531,187 County Road 514,"FLOYDS SALES, LLC",Limited  Liability Company(LLC),AR-03,BERRYVILLE,4/7/2020,Unanswered,,First National Bank of North Arkansas,160100,236220,,Unanswered,AR,Unanswered,72616
618069,2808 S 4TH ST,"LAFORGE PROPERTIES, LLC",Limited  Liability Company(LLC),OK-04,CHICKASHA,4/15/2020,Unanswered,4,"The First National Bank and Trust Co, Chickasha, Oklahoma",35000,531110,,Unanswered,OK,Unanswered,73018
619766,753 MUSGRAVE BLVD,VALRIE JOHNSON,Self-Employed Individuals,OK-05,OKLAHOMA CITY,4/28/2020,Unanswered,5,Bank of Commerce,31100,236118,,Unanswered,OK,Unanswered,73114
650736,2411 OLD HIGHWAY 48,JAMES C BURRIS,Sole Proprietorship,OK-03,MANNFORD,4/29/2020,Unanswered,1,Arvest Bank,5300,339116,,Unanswered,OK,Unanswered,74044
278798,338 COPPERSTONE TRL,"JAL GROUP, LLC",Limited  Liability Company(LLC),TX-24,COPPELL,7/30/2020,Unanswered,2,AccessBank Texas,42000,423910,,Unanswered,TX,Unanswered,75019
200242,8951 Collin McKinney Pwky #1001,INTERNATIONAL RISK MITIGATION LLC,Limited  Liability Company(LLC),TX-03,MCKINNEY,4/15/2020,Female Owned,11,Gulf Coast Bank and Trust Company,114100,812990,,Unanswered,TX,Non-Veteran,75070
359775,334 HACIENDA DR,TXO HOMES LLC,Sole Proprietorship,TX-06,WAXAHACHIE,4/15/2020,Unanswered,1,Citizens National Bank of Texas,20800,531210,,Unanswered,TX,Unanswered,75165
565313,11215 SHADY TRL,NOBLE TILE SUPPLY DALLAS INC,Corporation,TX-33,DALLAS,4/13/2020,Male Owned,37,"BOKF, National Association",546200,423320,,White,TX,Unanswered,75229
225365,7600 COUNTY ROAD 912,MATT'S HOME SEALERS INC,Subchapter S Corporation,TX-25,JOSHUA,5/1/2020,Unanswered,7,"JPMorgan Chase Bank, National Association",78977,999990,,Unanswered,TX,Unanswered,76058
416500,2000 BAGBY STREET,A2Z ORGANIZING SOLUTIONS LLC,Limited  Liability Company(LLC),TX-02,HOUSTON,6/17/2020,Unanswered,0,"Wells Fargo Bank, National Association",14078,562910,,Unanswered,TX,Unanswered,77002
595957,2617 WEST HOLCOMBE SUITE A,"CANDELARI'S PIZZERIA V, LTD.",Limited Liability Partnership,TX-07,HOUSTON,4/13/2020,Unanswered,42,BancorpSouth Bank,177852,722511,,Unanswered,TX,Unanswered,77025
292114,4840 W PANTHER CREEK DR STE 101,DAVID W MICHALAK MD PA,Professional Association,TX-08,SPRING,5/1/2020,Male Owned,3,"Bank of America, National Association",36845,611710,,Unanswered,TX,Non-Veteran,77381
285930,106 HIGHWAY 3,MAINLAND PAWN SHOP,Sole Proprietorship,TX-14,LA MARQUE,4/27/2020,Female Owned,5,Texas First Bank,39400,522298,,White,TX,Non-Veteran,77568
229628,501 CONGRESS AVE STE 150,"INTERNATIONAL MUSICIANS LEAGUE, INC.",Subchapter S Corporation,TX-21,AUSTIN,5/1/2020,Unanswered,4,"JPMorgan Chase Bank, National Association",74962,711130,,Unanswered,TX,Unanswered,78701
285048,514 Washington St,COLORADO COUNTY YOUTH & FAMILY SERVICE,Non-Profit Organization,TX-10,Columbus,4/27/2020,Unanswered,6,The First National Bank of Eagle Lake,39800,624110,Y,Unanswered,TX,Unanswered,78934
483960,309 Mohawk Drive,KIMBERLY SAMSEL,Independent Contractors,TX-19,POST,4/29/2020,Unanswered,1,Happy State Bank,6700,213112,,Unanswered,TX,Unanswered,79356
297853,4709 113TH ST,"IHE IMPORT, INC.",Corporation,TX-19,LUBBOCK,4/4/2020,Male Owned,21,Peoples Bank,34700,561431,,Unanswered,TX,Unanswered,79424
718451,14300 E COLFAX AVE.,DAVIDSONS MOTORS LLC,Limited  Liability Company(LLC),CO-06,AURORA,4/28/2020,Unanswered,12,Citywide Banks,116600,441120,,Unanswered,CO,Unanswered,80011
786617,55 MADISON STREET SUITE 530,THE TERRAIN PROJECT,Limited  Liability Company(LLC),CO-01,DENVER,6/10/2020,Unanswered,0,"Wells Fargo Bank, National Association",9174,531390,,Unanswered,CO,Unanswered,80206
767858,4759 N JASPER ST,AAB PAINTING LLC,Limited  Liability Company(LLC),CO-01,DENVER,5/4/2020,Unanswered,5,Accion,17135,238320,,Unanswered,CO,Unanswered,80239
797608,965 East 11th Street,DRATZ BREWING COMPANY,Limited  Liability Company(LLC),CO-02,LOVELAND,4/14/2020,Male Owned,,First National Bank of Omaha,5442.5,312120,,White,CO,Non-Veteran,80537
750728,136 West Tomichi Ave,BAUHOLZEN LLC,Corporation,CO-03,Gunnison,4/30/2020,Unanswered,9,Bank of the West,27087,999990,,Unanswered,CO,Unanswered,81230
574317,10874 S Bay Meadow Cir.,HARRISON CONSTRUCTION INC.,Subchapter S Corporation,UT-03,SANDY,4/15/2020,Unanswered,1,"Zions Bank, A Division of",12900,236115,,Unanswered,UT,Unanswered,84092
563673,97 West 300 South,"HADFIELD MANAGEMENT SERVICES, LLC",Limited  Liability Company(LLC),UT-01,MILLVILLE,4/11/2020,Male Owned,2,Cache Valley Bank,25299,541618,,White,UT,Non-Veteran,84326
608695,440 S Main Street,"BASTIAN TRUCKING, INC",Corporation,UT-02,Aurora,5/11/2020,Unanswered,19,"Zions Bank, A Division of",212400,484122,,Unanswered,UT,Unanswered,84620
166760,4130 E MOUNTAIN SAGE DR,"JOHN D GLASSGOW, CPA",Sole Proprietorship,AZ-09,PHOENIX,4/28/2020,Unanswered,1,Bell Bank,9500,621999,,Unanswered,AZ,Unanswered,85044
180590,13954 W Waddell Rd,"MOTOR T TRUCKING, LLC",Self-Employed Individuals,AZ-08,Surprise,5/24/2020,Unanswered,1,Cross River Bank,3266,484230,,Unanswered,AZ,Unanswered,85379
161577,518 W White Mountian Blvd,PINETOP-LAKESIDE CHAMBER OF COMMERCE,Non-Profit Organization,AZ-01,Pinetop-Lakeside,5/1/2020,Unanswered,1,"Zions Bank, A Division of",12300,813910,Y,Unanswered,AZ,Unanswered,85929
133000,2075 State Hwy 68,VIVAC WINERY LIMITED PARTNERSHIP,Limited Liability Partnership,NM-03,DIXON,4/27/2020,Unanswered,2,Centinel Bank of Taos,14400,312130,,Unanswered,NM,Unanswered,87527
174608,2518 Breezy Cove Ave,VITAL GERMAINE,Independent Contractors,NV-03,Henderson,5/12/2020,Unanswered,1,"Zions Bank, A Division of",5000,711110,,Unanswered,NV,Unanswered,89052
178892,3040 CHARLESTON BLVD E,TAYLORE I BRYANT,Independent Contractors,NV-01,LAS VEGAS,7/21/2020,Unanswered,1,"U.S. Bank, National Association",1471,622210,,Unanswered,NV,Unanswered,89104
452698,1519 North Culver Avenue,JASON HARPER,Sole Proprietorship,CA-44,Compton,6/18/2020,Unanswered,,Celtic Bank Corporation,20833,541990,,Unanswered,CA,Unanswered,90222
330220,P.O. Box 801028,"MICON PROPERTIES, INC.",Corporation,CA-25,Santa Clarita,4/12/2020,Unanswered,13,Bank of Santa Clarita,43847,512110,,Unanswered,CA,Non-Veteran,91380
393686,3545 Midway Dr #M,"PLOYSAKUL, INC",Corporation,CA-52,SAN DIEGO,5/2/2020,Unanswered,,"JPMorgan Chase Bank, National Association",28870,722511,,Unanswered,CA,Unanswered,92110
548727,8775 COSTA VERDE BLVD,SAM MALHAS,Sole Proprietorship,CA-52,SAN DIEGO,5/16/2020,Unanswered,6,"Bank of America, National Association",13250,541330,,Unanswered,CA,Unanswered,92122
203355,5080 SHOREHAM PL,"CHEYENNE BRANDS, LLC",Limited  Liability Company(LLC),CA-52,SAN DIEGO,4/30/2020,Unanswered,,"Bank of Southern California, National Association",122100,454110,,Unanswered,CA,Unanswered,92122
49505,78073 CALLE BARCELONA,"LAVENDER BISTRO, INC.",Corporation,CA-36,LA QUINTA,4/13/2020,Unanswered,,"Bank of Southern California, National Association",519100,722513,,Unanswered,CA,Unanswered,92253
274225,213 WICKER,"M & SONG, INC.",Corporation,CA-45,IRVINE,4/28/2020,Male Owned,10,Bank of Hope,65500,561990,,Asian,CA,Non-Veteran,92618
494485,2614 E COAST HWY,FIRST CUT CDM,Sole Proprietorship,CA-48,CORONA DEL MAR,5/6/2020,Unanswered,2,"Bank of America, National Association",18652,812112,,Unanswered,CA,Unanswered,92625
675381,"27127 Calle Arroyo, Suite 1923",BRIAN F. FAULKNER,Sole Proprietorship,CA-49,San Juan Capistrano,4/30/2020,Unanswered,1,Bank of the West,4005,999990,,Unanswered,CA,Unanswered,92675
301831,22481 ALMADEN,"ABAD GROUP HOME, INC.",Subchapter S Corporation,CA-45,MISSION VIEJO,6/25/2020,Unanswered,9,"JPMorgan Chase Bank, National Association",53475,623990,,Unanswered,CA,Unanswered,92691
108988,25909 PALA 300,"BORCHARD &AMP; CALLAHAN, A PROFESSIONAL CORPORATION",Corporation,CA-45,MISSION VIEJO,5/1/2020,Unanswered,9,"JPMorgan Chase Bank, National Association",156775,541110,,Unanswered,CA,Unanswered,92691
346668,"340 Rosewood Avenue, Suite Q",GOLD COAST COMMERCIAL,Subchapter S Corporation,CA-26,Camarillo,4/28/2020,Male Owned,7,"Zions Bank, A Division of",39600,531390,,Unanswered,CA,Non-Veteran,93010
493096,3111 SAVIERS RD,SOUTH COAST DENTAL CARE,Sole Proprietorship,CA-26,OXNARD,7/16/2020,Unanswered,3,"Bank of America, National Association",18750,621210,,Unanswered,CA,Unanswered,93033
619496,3723 Haven Ave,"COMPUTERS FOR EVERYONE, INC.",Non-Profit Organization,CA-14,Menlo Park,5/1/2020,Unanswered,2,"Zions Bank, A Division of",7800,443142,Y,Unanswered,CA,Unanswered,94025
234064,925 THOMPSON PL,RELIANT LABS INC,Corporation,CA-17,SUNNYVALE,5/1/2020,Unanswered,4,"Bank of America, National Association",91077,541380,,Unanswered,CA,Unanswered,94085
426111,1134 E Ballena Boulevard,BYTEHAUS,Self-Employed Individuals,CA-13,Alameda,4/28/2020,Unanswered,2,Cross River Bank,23291,541430,,Unanswered,CA,Unanswered,94501
69361,583 CALIFORNIA BLVD,"PRICE LANDSCAPE SERVICES, INC.",Corporation,CA-05,NAPA,4/27/2020,Unanswered,30,Bank of Marin,300000,541320,,Unanswered,CA,Unanswered,94559
595768,2520 CASTRO RANCH RD,EL SOBRANTE FEED & PET SUPPLY,Sole Proprietorship,CA-11,EL SOBRANTE,4/28/2020,Unanswered,5,Mechanics Bank,9612,453910,,Unanswered,CA,Unanswered,94803
292604,1108 West Tokay Street,"STANLEY L. DEMSKI, III, D.D.S., INC.",Subchapter S Corporation,CA-09,LODI,4/10/2020,Male Owned,,Farmers & Merchants Bank of Central California,57220,621210,,Unanswered,CA,Non-Veteran,95240
273577,542 EMERALD PARK CT,PROSOLARCLEAN LLC,Limited  Liability Company(LLC),CA-05,SANTA ROSA,5/1/2020,Unanswered,5,"Bank of America, National Association",65888,561790,,Unanswered,CA,Unanswered,95409
250637,606 YERBA BUENA WAY,WINDSOR FABRICATION,Sole Proprietorship,CA-02,WINDSOR,4/15/2020,Unanswered,8,Redwood CU,79000,332312,,Unanswered,CA,Unanswered,95492
578386,3335B WATT AVE,SHIPS AND TRIPS TRAVEL LLC,Limited  Liability Company(LLC),CA-06,SACRAMENTO,5/1/2020,Unanswered,3,"Bank of America, National Association",10804,561510,,Unanswered,CA,Unanswered,95821
199783,841 BISHOP ST ST 1110,NAVATEK LLC,Limited  Liability Company(LLC),HI-01,HONOLULU,4/6/2020,Unanswered,490,Central Pacific Bank,10000000,541710,,Unanswered,HI,Unanswered,96813
688333,251 SW Madison Ave,"THE SHOE HUTCH, INC.",Subchapter S Corporation,OR-04,CORVALLIS,4/15/2020,Unanswered,3,Citizens Bank,22700,448210,,Unanswered,OR,Unanswered,97333
699214,1400 CLARK MILL RD,BAKER'S CUSTOM WELDING & FABRICATION LLC,Limited  Liability Company(LLC),OR-04,SWEET HOME,4/30/2020,Unanswered,0,Central Willamette CU,13533.47,811310,,Unanswered,OR,Unanswered,97386
693503,999 CREWS RD,WRAMN INC,Corporation,OR-02,MEDFORD,4/12/2020,Unanswered,4,"Washington Federal Bank, National Association",18568.75,811118,,Unanswered,OR,Unanswered,97501
638679,13715 NE BEL RED RD,"KITTS & KITTS, P.L.L.C.",Corporation,WA-09,BELLEVUE,4/28/2020,Unanswered,,Columbia State Bank,235000,621210,,Unanswered,WA,Unanswered,98005
639350,3101 NORTHWEST AVE,YEAGERS SPORTING GOODS,Corporation,WA-02,BELLINGHAM,5/1/2020,Unanswered,30,"U.S. Bank, National Association",220801,452990,,Unanswered,WA,Unanswered,98225
629517,2930 Squalicum Parkway Suite 101,"MT BAKER IMAGING, LLC",Limited  Liability Company(LLC),WA-02,BELLINGHAM,4/14/2020,Unanswered,132,Peoples Bank,1648000,621111,,Unanswered,WA,Unanswered,98225
760747,904 Crabtree Lane,M AND J'S ROOFING LLC,Limited  Liability Company(LLC),WA-01,Ferndale,4/27/2020,Unanswered,0,Whatcom Educational CU,14900,238160,,Unanswered,WA,Unanswered,98248
773145,345 BLAIR AVE.,"FRIDAY HARBOR COTTAGES, INC.",Corporation,WA-02,FRIDAY HARBOR,5/12/2020,Unanswered,0,Banner Bank,9100,111331,,Unanswered,WA,Unanswered,98250
761995,8819 152ND ST SE,STEPMAN WOODWORKS LLC,Limited  Liability Company(LLC),WA-01,SNOHOMISH,5/18/2020,Unanswered,3,"Bank of America, National Association",14192,238350,,Unanswered,WA,Unanswered,98296
755092,14216 NE 82 st.,MC&T CONSTRUCTION LLC,Corporation,WA-03,Vancouver,7/30/2020,Unanswered,3,"Kabbage, Inc.",18006,236115,,Unanswered,WA,Unanswered,98682
737082,1124 S WARD AVE,HACIENDA DE GONZALEZ INC,Corporation,WA-04,EAST WENATCHEE,6/30/2020,Unanswered,0,Washington Trust Bank,30600,111331,,Unanswered,WA,Unanswered,98802
